scene,model,model_key,direction,condition,nominal_brier,shifted_brier,brier_change,nominal_nll,shifted_nll,nll_change,nominal_ece,shifted_ece,ece_change
LongKou,Linear,linear,minus,global_center_minus_2p2_nm,0.16158797254918017,0.1612297144584276,-0.0003582580907525723,0.3629683459515455,0.3634993582267076,0.0005310122751621127,0.03147274405123423,0.024454239056471164,-0.007018504994763065
LongKou,Linear,linear,plus,global_center_plus_2p2_nm,0.16158797254918017,0.2130144664310473,0.051426493881867125,0.3629683459515455,0.44541307344411374,0.08244472749256826,0.03147274405123423,0.02110398350903309,-0.01036876054220114
LongKou,MLP,mlp,minus,global_center_minus_2p2_nm,0.07867709234012414,0.14241526735624963,0.06373817501612548,0.1541879938900281,0.33766096463738177,0.18347297074735366,0.010356917302931899,0.04242066369767391,0.03206374639474201
LongKou,MLP,mlp,plus,global_center_plus_2p2_nm,0.07867709234012414,0.3061880022504371,0.22751090991031292,0.1541879938900281,0.6717219071704126,0.5175339132803844,0.010356917302931899,0.11626242641516908,0.10590550911223719
LongKou,CNN-1D,cnn1d,minus,global_center_minus_2p2_nm,0.08565450812020424,0.12284987235139111,0.03719536423118687,0.1960182038587554,0.2996631651215108,0.10364496126275541,0.01280083363536692,0.03900167439199773,0.026200840756630813
LongKou,CNN-1D,cnn1d,plus,global_center_plus_2p2_nm,0.08565450812020424,0.308126604259768,0.22247209613956376,0.1960182038587554,0.7039110178589445,0.507892814000189,0.01280083363536692,0.11805453630924963,0.1052537026738827
LongKou,SSCNN-3x3,sscnn3x3,minus,global_center_minus_2p2_nm,0.05515112591167036,0.07771788901871515,0.022566763107044793,0.13103451650004552,0.19561233829122152,0.064577821791176,0.01649472954647303,0.023301270100142712,0.006806540553669683
LongKou,SSCNN-3x3,sscnn3x3,plus,global_center_plus_2p2_nm,0.05515112591167036,0.1092786547879766,0.054127528876306244,0.13103451650004552,0.25538082392683775,0.12434630742679223,0.01649472954647303,0.04131664208605594,0.02482191253958291
LongKou,SSResNet-3x3,ssresnet3x3,minus,global_center_minus_2p2_nm,0.041560368895861774,0.10505043538801537,0.0634900664921536,0.09423899217950335,0.2594873576852926,0.16524836550578922,0.013828498987987266,0.039028738489048906,0.02520023950106164
LongKou,SSResNet-3x3,ssresnet3x3,plus,global_center_plus_2p2_nm,0.041560368895861774,0.15196039953101398,0.1104000306351522,0.09423899217950335,0.35223857083363574,0.25799957865413237,0.013828498987987266,0.06290085140283808,0.049072352414850806
LongKou,SpectralFormer-3x3,spectralformer3x3,minus,global_center_minus_2p2_nm,0.0648806380665308,0.07345319461318742,0.008572556546656618,0.1469056526482708,0.17231867124619166,0.02541301859792086,0.01831338403763524,0.02118541983829996,0.0028720358006647205
LongKou,SpectralFormer-3x3,spectralformer3x3,plus,global_center_plus_2p2_nm,0.0648806380665308,0.1716277488379901,0.10674711077145929,0.1469056526482708,0.38842237553006387,0.24151672288179307,0.01831338403763524,0.06487188967845373,0.04655850564081848
