scene,model,model_key,direction,block_size,test_block_count,mean_drop_pp,ci95_lower_pp,ci95_upper_pp,ci_excludes_zero,bootstrap_replicates,source
HanChuan,SSResNet-3x3,ssresnet3x3,minus,8,3686,9.926455104723573,8.707194562652148,10.997598021873273,True,2000,post_hoc_block_size_sensitivity
HanChuan,SSResNet-3x3,ssresnet3x3,plus,8,3686,9.547942942008376,8.848198546329513,10.235243396135047,True,2000,post_hoc_block_size_sensitivity
HanChuan,SpectralFormer-3x3,spectralformer3x3,minus,8,3686,3.8348956406116486,3.1499776807613675,4.499545573024079,True,2000,post_hoc_block_size_sensitivity
HanChuan,SpectralFormer-3x3,spectralformer3x3,plus,8,3686,3.477882519364357,2.984118652995676,3.998255240730941,True,2000,post_hoc_block_size_sensitivity
HanChuan,Linear,linear,minus,16,974,2.68425418633129,1.7653082646671272,3.5827676790434455,True,2000,frozen_primary_analysis
HanChuan,Linear,linear,plus,16,974,5.212856307889797,4.509358262749967,5.775383592524052,True,2000,frozen_primary_analysis
HanChuan,MLP,mlp,minus,16,974,5.4422697657881285,4.366155454195469,6.538250343810205,True,2000,frozen_primary_analysis
HanChuan,MLP,mlp,plus,16,974,5.07300393720544,4.100077074371256,6.037878064059031,True,2000,frozen_primary_analysis
HanChuan,CNN-1D,cnn1d,minus,16,974,5.787016364051982,4.372307469583553,6.973487176065443,True,2000,frozen_primary_analysis
HanChuan,CNN-1D,cnn1d,plus,16,974,9.214009429815004,8.01465665680898,10.245414720475381,True,2000,frozen_primary_analysis
HanChuan,SSCNN-3x3,sscnn3x3,minus,16,974,5.883895037279367,4.563470298518938,7.18909247319078,True,2000,frozen_primary_analysis
HanChuan,SSCNN-3x3,sscnn3x3,plus,16,974,7.420371968671864,6.35688227635589,8.356741236190006,True,2000,frozen_primary_analysis
HanChuan,SSResNet-3x3,ssresnet3x3,minus,16,974,9.92645509088094,7.728470526132573,11.52020076152325,True,2000,frozen_primary_analysis
HanChuan,SSResNet-3x3,ssresnet3x3,plus,16,974,9.547943020918161,8.374203161694474,10.60372376991127,True,2000,frozen_primary_analysis
HanChuan,SpectralFormer-3x3,spectralformer3x3,minus,16,974,3.8348952104567524,2.749975434911209,4.9181083677013,True,2000,frozen_primary_analysis
HanChuan,SpectralFormer-3x3,spectralformer3x3,plus,16,974,3.4778824402237256,2.763827586303005,4.207796461787072,True,2000,frozen_primary_analysis
HanChuan,Linear,linear,minus,32,371,2.684254194609821,1.3792335340403952,3.867120696464553,True,2000,post_hoc_block_size_sensitivity
HanChuan,Linear,linear,plus,32,371,5.212856475263834,4.368116385023313,5.883623921312391,True,2000,post_hoc_block_size_sensitivity
HanChuan,MLP,mlp,minus,32,371,5.442269705235958,3.898178472649306,6.837888568639756,True,2000,post_hoc_block_size_sensitivity
HanChuan,MLP,mlp,plus,32,371,5.0730037316679955,3.8283942656125873,6.433754525613037,True,2000,post_hoc_block_size_sensitivity
HanChuan,CNN-1D,cnn1d,minus,32,371,5.787016316317022,4.049632621303317,7.203021309280302,True,2000,post_hoc_block_size_sensitivity
HanChuan,CNN-1D,cnn1d,plus,32,371,9.214009549468756,7.679145815549417,10.425717467158393,True,2000,post_hoc_block_size_sensitivity
HanChuan,SSCNN-3x3,sscnn3x3,minus,32,371,5.883895363658667,4.100478752981871,7.50708807678893,True,2000,post_hoc_block_size_sensitivity
HanChuan,SSCNN-3x3,sscnn3x3,plus,32,371,7.42037195712328,6.260575948283077,8.662479271646589,True,2000,post_hoc_block_size_sensitivity
HanChuan,SSResNet-3x3,ssresnet3x3,minus,32,371,9.926455104723573,6.851692032883875,11.837578385195227,True,2000,post_hoc_block_size_sensitivity
