seed,condition,family,level_nm,oa,macro_f1,balanced_accuracy,worst_class_recall,nll,brier,ece_15bin,mean_confidence,high_confidence_error_rate_all,high_confidence_error_count,label_flip_rate,nominal_correct_to_shifted_wrong_rate_all,shifted_wrong_to_correct_rate_all
13,nominal,nominal,0.0,0.9428658188711191,0.8660688904447718,0.9111342556534814,0.7895313184406483,0.18764009243286395,0.08348195596587543,0.012904438655763451,0.9555598999028712,0.01049008962585347,1140,0.0,0.0,0.0
13,global_center_minus_1p1_nm,global_center,-1.1,0.9349062333216777,0.8199594581146107,0.8401140569063184,0.568988173455979,0.2131925439861181,0.09398011244440528,0.021989712874979167,0.9563812010114582,0.012413272723926606,1349,0.04490494506505696,0.023078197176877636,0.015118611627436185
13,global_center_plus_1p1_nm,global_center,1.1,0.9101625043708707,0.8281315827126843,0.9053604592490893,0.8214210224356071,0.28767978657328414,0.13253686840204001,0.033565730137308784,0.9437282345081794,0.02063971143051696,2243,0.059121777057989953,0.04173031267828552,0.009026998178037066
13,global_center_minus_2p2_nm,global_center,-2.2,0.91284943960837,0.7447747934838991,0.7435848398013681,0.37267362687244665,0.31718768317576496,0.1306822086232689,0.043333516378286654,0.9561829559866566,0.024090398807442442,2618,0.08222757973388299,0.05042604486813773,0.020409665605388594
13,global_center_plus_2p2_nm,global_center,2.2,0.820435430737803,0.7272259627774165,0.8296740702703396,0.6330887459612887,0.6357854883923263,0.2755531881546648,0.10134406687600725,0.9217794976138103,0.059535859543221006,6470,0.15995546312825515,0.13375784456263687,0.011327456429320721
13,global_center_minus_4p4_nm,global_center,-4.4,0.8754899976075234,0.6439068830943027,0.6278527065104879,0.07692307692307693,0.6511579934505887,0.2014581539136548,0.0816006704841036,0.9569827111283213,0.05425400739827373,5896,0.12848519425069474,0.08934979847985719,0.02197397721626148
13,global_center_plus_4p4_nm,global_center,4.4,0.5138027495077019,0.420018200499366,0.494025871559056,0.06778995681976024,3.171870083936714,0.846066875719911,0.4037122663766536,0.9175126007663899,0.2927747207243683,31817,0.4771426468152456,0.43992123230947605,0.010858162946058856
13,local_mid25_center_minus_2p2_nm,local_center,-2.2,0.9376023703921821,0.8243860004472731,0.8270143554921997,0.32191338073691017,0.22466431617856766,0.09489265168569312,0.020905522899638273,0.9585078932918204,0.017032592892504188,1851,0.046432449343909304,0.023768334652262732,0.018504886173325727
13,local_mid25_center_plus_2p2_nm,local_center,2.2,0.8122089920312127,0.7685031312466281,0.8635454408036458,0.5065374279071172,0.5593156563776195,0.28315336108304706,0.10856353343443575,0.9207079665946217,0.0639159320536651,6946,0.14901448368515008,0.13681285312034158,0.0061560262804350625
13,fwhm_12_nm,fwhm,12.0,0.9347774076596058,0.836899574149296,0.8832000911156788,0.6322820849759089,0.21467676331143623,0.09523097431056562,0.017849156599254117,0.9525947892958144,0.01293777720521928,1406,0.030255626920882638,0.015836354601836685,0.007747943390323353
13,fwhm_18_nm,fwhm,18.0,0.9362036917754016,0.864363288167855,0.9027633561945699,0.78954180688584,0.21224645641831885,0.09442683800706587,0.019597720150009646,0.9558014119254113,0.01415241916189705,1538,0.026344847893700424,0.014143217328891915,0.007481090233174449
37,nominal,nominal,0.0,0.9424057272208624,0.8696061945089174,0.9163744244704211,0.8383705650459922,0.20237051985586882,0.0867204285468023,0.013979197246392523,0.9563262530300153,0.013195428529363049,1434,0.0,0.0,0.0
37,global_center_minus_1p1_nm,global_center,-1.1,0.9403169111286969,0.8463024525293861,0.8710966402893487,0.642137538326763,0.20747842391248011,0.08781424672510582,0.017932928200620268,0.9582322932047441,0.012762942378121723,1387,0.04316579862708651,0.01928704197876217,0.01719822588659661
37,global_center_plus_1p1_nm,global_center,1.1,0.8974179656587592,0.8036088922696115,0.8837370581874846,0.7677970489257054,0.3451575035359864,0.1542174380208692,0.04195192559988898,0.9393244462129674,0.026602499217844196,2891,0.06572869315567662,0.051649888657820636,0.006662127095717467
