seed,condition,family,level_nm,oa,macro_f1,balanced_accuracy,worst_class_recall,nll,brier,ece_15bin,mean_confidence,high_confidence_error_rate_all,high_confidence_error_count,label_flip_rate,nominal_correct_to_shifted_wrong_rate_all,shifted_wrong_to_correct_rate_all
13,nominal,nominal,0.0,0.84440354208032,0.6894749970856432,0.7312592533817598,0.07492931196983978,0.6286023093655391,0.23280903756503887,0.06114766569177471,0.9055453419303543,0.031860365126064626,6595,0.0,0.0,0.0
37,nominal,nominal,0.0,0.8501717416194438,0.7032388076357774,0.7476581541721501,0.10603204524033931,0.860523894807449,0.24548901067963821,0.09682853624874052,0.9470002778681844,0.06636811161514418,13738,0.0,0.0,0.0
73,nominal,nominal,0.0,0.8284612820475659,0.6832012245167538,0.7477955565309548,0.06974552309142319,0.6910119429695118,0.2587164263472469,0.07396690332533716,0.902428185372903,0.041778383261593166,8648,0.0,0.0,0.0
101,nominal,nominal,0.0,0.8505533896626521,0.7039548348288404,0.7425489411812372,0.10461828463713478,0.7206604470801472,0.23759626998423522,0.08728704904812482,0.9378404387107769,0.056556375213167344,11707,0.0,0.0,0.0
131,nominal,nominal,0.0,0.8434180205510224,0.6916546450593333,0.7342453177582757,0.09142318567389256,0.7023429894223656,0.24437862257158408,0.07915865072308367,0.9225766712741061,0.049652893520195945,10278,0.0,0.0,0.0
13,global_center_minus_1p1_nm,global_center,-1.1,0.8017942289018681,0.6481714991485479,0.6923951778753303,0.0645617342130066,0.7837980100177734,0.2951242045450458,0.08001104575655921,0.8817933774154632,0.03901505818924912,8076,0.11342676463910105,0.06349850480924844,0.020889191630796583
37,global_center_minus_1p1_nm,global_center,-1.1,0.818398334275376,0.6675424328021624,0.713604524441899,0.10131950989632423,1.0066745650979636,0.29610441493948236,0.11745792725597304,0.9358562615313489,0.07921370841123301,16397,0.09771156103711648,0.05207804944033005,0.020304642096262263
73,global_center_minus_1p1_nm,global_center,-1.1,0.8004560452566946,0.6588355905530582,0.7241404787425086,0.060320452403393024,0.8056618568435435,0.3001091979894729,0.08536078318986413,0.8858168284465586,0.04632917385276115,9590,0.10605467712092445,0.05352251481905535,0.025517278028183984
101,global_center_minus_1p1_nm,global_center,-1.1,0.8316255791146732,0.6836546271886008,0.7205980121852195,0.07775683317624882,0.7969986818394404,0.2664723370065783,0.09246784043270204,0.9240934195473752,0.05948395387372764,12313,0.09265351671763358,0.044106919423953006,0.02517910887597405
131,global_center_minus_1p1_nm,global_center,-1.1,0.8188814330642473,0.6656624363046753,0.7095993186170507,0.07822808671065033,0.8036123469211146,0.27947450624082154,0.0898483783205929,0.9087298113848402,0.05167224645767813,10696,0.0934168128040503,0.04670115992019208,0.02216457243341691
13,global_center_plus_1p1_nm,global_center,1.1,0.8134803886046658,0.641412116827495,0.6804072755258935,0.0942507068803016,0.7586198288136354,0.28357604983097395,0.08642610917373694,0.8998995875374347,0.047681850461600894,9870,0.09355208046493428,0.047701174413155745,0.016778020937501508
37,global_center_plus_1p1_nm,global_center,1.1,0.821514321463596,0.6577984362291265,0.7028139540118369,0.12111215834118756,1.0179259233783235,0.29337227851682046,0.1201424596542146,0.9416567811178107,0.08212679410812718,17000,0.0874118948583796,0.04461900414015662,0.01596158398430895
73,global_center_plus_1p1_nm,global_center,1.1,0.7895331816403136,0.6271902923265072,0.6921938490876356,0.10697455230914232,0.8487546044807831,0.3212302600449937,0.10459057667134146,0.8941237583116551,0.05969651734083103,12357,0.10458122581486688,0.05760469958501814,0.01867659917776586
101,global_center_plus_1p1_nm,global_center,1.1,0.8137509239264337,0.6490773931183097,0.6932124604344921,0.13760603204524033,0.9304227948876775,0.3021419249183735,0.11967058936703892,0.9334215132934727,0.07973545510321406,16505,0.0935279255254907,0.052488683410870686,0.01568621767465229
