seed,condition,family,level_nm,oa,macro_f1,balanced_accuracy,worst_class_recall,nll,brier,ece_15bin,mean_confidence,high_confidence_error_rate_all,high_confidence_error_count,label_flip_rate,nominal_correct_to_shifted_wrong_rate_all,shifted_wrong_to_correct_rate_all
13,nominal,nominal,0.0,0.844234457504215,0.6998235337476193,0.765473507805027,0.1352497643732328,0.7458259787180394,0.23602410283724704,0.05630929249783905,0.9005437500020541,0.03414059140953734,7067,0.0,0.0,0.0
37,nominal,nominal,0.0,0.8400266670531457,0.7066215674726172,0.7632750457366716,0.147502356267672,0.7954520997599049,0.24538801162896673,0.07662226691819543,0.9166489339713412,0.0461649202645449,9556,0.0,0.0,0.0
73,nominal,nominal,0.0,0.7965139591395044,0.7031975791384211,0.7637277662252285,0.1239396795475966,0.9127292657720677,0.31707722556185797,0.11488435660259365,0.9113983157420981,0.07334888911433499,15183,0.0,0.0,0.0
101,nominal,nominal,0.0,0.8410411745097756,0.7072453382899296,0.771641435221752,0.14514608859566447,0.7560257457315754,0.24240413674985462,0.07232699701778979,0.9133681715275653,0.042981299245882794,8897,0.0,0.0,0.0
131,nominal,nominal,0.0,0.8539060952574192,0.7163146641984265,0.7637353966514696,0.13713477851083883,0.723518648920281,0.2232049854773545,0.06575691969120714,0.9196630149486263,0.0398411571182191,8247,0.0,0.0,0.0
13,global_center_minus_1p1_nm,global_center,-1.1,0.7812383754353928,0.6279366150532811,0.691363091595541,0.10508953817153628,1.053244649038048,0.3294308022324299,0.08478495330163399,0.866023072868719,0.04572530036667198,9465,0.12749943235892308,0.08117992048193935,0.018183838413117097
37,global_center_minus_1p1_nm,global_center,-1.1,0.7765040073044537,0.6421796466442774,0.7074064121116574,0.12488218661639962,1.0798228431736778,0.3411694953245841,0.10897929334141834,0.8854832014140741,0.06122310951366445,12673,0.1300743489036073,0.08417030198505292,0.020647642236360914
73,global_center_minus_1p1_nm,global_center,-1.1,0.7764363734740117,0.6598536099536658,0.7186615873234459,0.10414703110273327,1.0263675370680376,0.3455240798100887,0.1185558916137141,0.8949922650877258,0.07169669125639502,14841,0.11695338579786181,0.055396938119876137,0.0353193524543834
101,global_center_minus_1p1_nm,global_center,-1.1,0.8232534771035329,0.6814693008537389,0.7450871630810426,0.11262959472196042,0.8611969325323151,0.2706939971131068,0.07785991689791161,0.9011055751313675,0.04737749822461195,9807,0.09441199630912525,0.043875032005294766,0.02608733459905216
131,global_center_minus_1p1_nm,global_center,-1.1,0.8278380846099219,0.675137446182318,0.7176018963441523,0.11404335532516494,0.8593276439111268,0.2645121625486919,0.0784644735564971,0.906302558166419,0.04788475195292685,9912,0.09756663140045507,0.05046449948549979,0.024396488838002484
