seed,condition,family,level_nm,oa,macro_f1,balanced_accuracy,worst_class_recall,nll,brier,ece_15bin,mean_confidence,high_confidence_error_rate_all,high_confidence_error_count,label_flip_rate,nominal_correct_to_shifted_wrong_rate_all,shifted_wrong_to_correct_rate_all
13,nominal,nominal,0.0,0.7536969134818379,0.5876371741774522,0.6790242585186268,0.1286522148916117,0.9515698996590893,0.35174814825525946,0.03739276788139139,0.7910896813632292,0.021483403141108325,4447,0.0,0.0,0.0
13,global_center_minus_1p1_nm,global_center,-1.1,0.7407981758189732,0.5802712006263367,0.6688144213313116,0.11687087653157399,1.0267848158490445,0.3691224477277898,0.038861072948688624,0.7796592487676619,0.020879529655019154,4322,0.09763426523089706,0.038918438431474855,0.026019700768610172
13,global_center_plus_1p1_nm,global_center,1.1,0.7368850756291154,0.5617685087020623,0.6486425434728634,0.12299717247879359,0.9909873386511886,0.3739752094006797,0.05854524206366965,0.795430317692785,0.026449658690705664,5475,0.09013657202761392,0.039232452644241224,0.022420614791518717
13,global_center_minus_2p2_nm,global_center,-2.2,0.6919955361671908,0.5369126154162581,0.6126044479402091,0.0994344957587182,1.2449825409079862,0.4369441419968099,0.06902300073073299,0.7610185368979239,0.026468982642260514,5479,0.2061044362961782,0.10204978816118108,0.04034841084653401
13,global_center_plus_2p2_nm,global_center,2.2,0.7030198505292348,0.506347637363771,0.5878754206612956,0.10461828463713478,1.1322696913449775,0.42281768961446237,0.0971973723007369,0.8002172228299717,0.03670584597844413,7598,0.17126335164277742,0.08519930240534887,0.03452223945274569
13,global_center_minus_4p4_nm,global_center,-4.4,0.5178046058638531,0.4100998834441103,0.46835769228442925,0.024419297200714712,2.2372989983203744,0.7144731850662681,0.23596937799048362,0.7537739838543367,0.09081774131992251,18799,0.4514316632608202,0.2887867940115074,0.052894486393522615
13,global_center_plus_4p4_nm,global_center,4.4,0.6468644473108306,0.3985428502615296,0.4713209396086523,0.0006969180734087037,1.6659383624795479,0.5298929075661232,0.16760973877373336,0.8144741860845639,0.06732947820499814,13937,0.28225529838596697,0.15250945665879215,0.04567699048778485
13,local_mid25_center_minus_2p2_nm,local_center,-2.2,0.6587680014686204,0.5169520250000406,0.629736858548863,0.07917059377945335,1.32705317149711,0.47767188130114663,0.07050543681070068,0.729273438279321,0.02525640468219346,5228,0.19234095180123384,0.12131093687348125,0.026382024860263677
13,local_mid25_center_plus_2p2_nm,local_center,2.2,0.7394406682222447,0.5532500289241562,0.6169262335683734,0.17106503298774742,1.0116491393773803,0.37462073391443595,0.08010267280892525,0.81954334103117,0.035246887636052694,7296,0.13265892742406896,0.05472059981545626,0.04046435455586313
13,fwhm_12_nm,fwhm,12.0,0.744880360584936,0.581868716479505,0.6743125454432162,0.16635249764373233,0.977201661167496,0.364905022580618,0.04953335345620993,0.7944137140411459,0.02476847490543341,5127,0.044440257588274225,0.01779735938202003,0.008980806485118141
13,fwhm_18_nm,fwhm,18.0,0.7552235056546713,0.5841263185476582,0.6721343849891535,0.09048067860508954,0.9502984787161183,0.34839159769131106,0.031847482594540635,0.787070988249212,0.019657289719174673,4069,0.05025676700628511,0.014995386406566278,0.0165219785793997
