scene,model,model_key,capability_label,condition,oa_mean,oa_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,worst_class_recall_mean,worst_class_recall_std,nll_mean,nll_std,brier_mean,brier_std,ece_15bin_mean,ece_15bin_std,label_flip_rate_mean,label_flip_rate_std,nominal_correct_to_shifted_wrong_rate_all_mean,nominal_correct_to_shifted_wrong_rate_all_std,macro_f1_drop_pp
LongKou,Linear,linear,standard-capability,nominal,0.8882879069510647,0.0009128941843645422,0.760617912479646,0.0018261141917902185,0.8171045247323903,0.0014877640871831493,0.5195795006570301,0.01135858121090724,0.3629683459515455,0.0027344925341112,0.16158797254918017,0.0010254555483840565,0.03147274405123423,0.0007677199389407524,0.0,0.0,0.0,0.0,0.0
LongKou,Linear,linear,standard-capability,global_center_minus_1p1_nm,0.8939047058173989,0.0008156323311592523,0.7594650496949177,0.001887101728493187,0.7950814384614611,0.0017715553840857742,0.4837056504599212,0.011703829528650424,0.3547368464869585,0.002971065595127912,0.15628673961709066,0.0010029334248652967,0.03100161435053452,0.0008000833445974796,0.03373207943022251,0.001409269061338086,0.009286489868781863,0.0003193181899829857,0.11528627847283701
LongKou,Linear,linear,standard-capability,global_center_plus_1p1_nm,0.8722601542227212,0.001721861882381351,0.7511830019847094,0.0028160146734001966,0.8217558695889448,0.00240507250775151,0.5445904511607533,0.020456408535281655,0.3918935953625128,0.003670671929045072,0.17999418572307038,0.001844042299116778,0.027366431615057203,0.001252992761890692,0.03562581666267921,0.0010005613022928618,0.022126727644146714,0.0008979122053658255,0.943491049493661
LongKou,Linear,linear,standard-capability,global_center_minus_2p2_nm,0.8903840845096342,0.0010571019939273213,0.7428454996006606,0.0030252344442993854,0.7553932025656389,0.00369900067219674,0.4379589053856659,0.018416473309612425,0.3634993582267076,0.0035694162852552926,0.1612297144584276,0.0012741295590292371,0.024454239056471164,0.0012240563473333247,0.06358098533227818,0.0019215159190867116,0.02132800853930103,0.0005877443482932817,1.7772412878985455
LongKou,Linear,linear,standard-capability,global_center_plus_2p2_nm,0.846351473213464,0.0028655666309919865,0.7327159755645709,0.0035789362670301823,0.810216120498373,0.003372468390012713,0.5597459483136225,0.026470971360174334,0.44541307344411374,0.007147350651176461,0.2130144664310473,0.003978308573212441,0.02110398350903309,0.0016019880472892996,0.07520474078436425,0.0024962709103638833,0.051681174890038095,0.0021509232981393816,2.7901936915075143
LongKou,Linear,linear,standard-capability,global_center_minus_4p4_nm,0.8704897215525331,0.0024427495856511865,0.6619217533533053,0.006568702552942346,0.667122179902772,0.005116732932775986,0.005946994182288299,0.006190052809243239,0.4193629053026843,0.006668275497590316,0.18724463930881544,0.002808152860736044,0.01629462031266409,0.0023959267645962297,0.10821723687358523,0.0033473088908794594,0.0487494708946022,0.0019466107448911907,9.869615912634078
LongKou,Linear,linear,standard-capability,global_center_plus_4p4_nm,0.7629810258203434,0.00881337567343766,0.6603725674051779,0.009463888998725125,0.7431052117589803,0.009167084512454234,0.31320754716981136,0.05117360453310736,0.6431710741585985,0.023277442245890123,0.3257551638382357,0.01232281741696323,0.06071746784785823,0.008734658601697557,0.1779156007876769,0.008651909162820534,0.1387268343854096,0.00791792466085685,10.024534507446814
LongKou,Linear,linear,standard-capability,local_mid25_center_minus_2p2_nm,0.890159559784309,0.0011393080745840931,0.7437964336509807,0.002775071485161137,0.770180071464278,0.0021385208897232995,0.436216763062245,0.01132927032196744,0.36122067506026834,0.0028427077359637477,0.16050136478300628,0.0010641923258254181,0.024873215533251496,0.0007457268168383425,0.05019231830980732,0.0007184681372116158,0.015722251872573017,0.00020918743748654268,1.682147882866536
LongKou,Linear,linear,standard-capability,local_mid25_center_plus_2p2_nm,0.8529289434455343,0.0012608425321652677,0.7416871949379924,0.001759888557903209,0.810223118182142,0.002595459472763655,0.5674989049496276,0.011944986948829145,0.42664384675942413,0.003096041624805866,0.2050130814504712,0.0017443592235758104,0.019053602515543215,0.001354584099770474,0.06274361852881093,0.0008379379312964387,0.04359644441172682,0.000977765662466964,1.8930717541653652
LongKou,Linear,linear,standard-capability,fwhm_12_nm,0.8846587040138395,0.0007863826403781538,0.7550706748663364,0.0013580384946436728,0.821522104098311,0.0015632298363472742,0.5056066579062637,0.011026455829219179,0.376500047273258,0.0033298758544601376,0.16558944891473407,0.0012282045950581918,0.03219338061136587,0.0009851757717922566,0.01969376299758912,0.0010721300426624592,0.008804313819312806,0.0009131724011546304,0.5547237613309663
LongKou,Linear,linear,standard-capability,fwhm_18_nm,0.8891473581537441,0.0013719436189080323,0.7597388030093832,0.0023905459089614014,0.8052916204509961,0.0018140460496005157,0.5229960578186595,0.013449964834905176,0.3567310413585359,0.003509336657036308,0.16108737485997496,0.0015689811322006709,0.028971094444896227,0.0005805547297557228,0.0204170270717927,0.0010493801989300184,0.0072381618418388945,0.00024918115235478884,0.08791094702628177
LongKou,MLP,mlp,standard-capability,nominal,0.9464674163093288,0.0036117786505355637,0.8731131102810584,0.007398552531840668,0.9323524246547452,0.005571983306708612,0.8415095967769034,0.02249224353052183,0.1541879938900281,0.008557681112855767,0.07867709234012414,0.004908989995226836,0.010356917302931899,0.0017822321107312906,0.0,0.0,0.0,0.0,0.0
LongKou,MLP,mlp,standard-capability,global_center_minus_1p1_nm,0.9480850985516314,0.0045201957007896315,0.8653940789443931,0.010323711184069748,0.8791986197215718,0.015487300838708404,0.6983343849295578,0.052395351920574505,0.16442134126715668,0.013731513888881443,0.07682746703430873,0.006623549052253404,0.011597287229262461,0.0008246932836541385,0.04909177908239322,0.0048650857766484295,0.021673997460294088,0.003125540442095877,0.7719031336665294
LongKou,MLP,mlp,standard-capability,global_center_plus_1p1_nm,0.8972008023998381,0.010729959928548199,0.8120185930808864,0.009985316304363693,0.911777877826237,0.0046497576860808475,0.7493190808346167,0.03628139570934136,0.2902671646109664,0.025011884933539258,0.1504844950307948,0.01414560985255288,0.04251286125773045,0.006986440122671487,0.06868800265012791,0.008243200565153104,0.05570421627988296,0.007327943135931094,6.1094517200172005
LongKou,MLP,mlp,standard-capability,global_center_minus_2p2_nm,0.9071240591125752,0.010585362903795836,0.7788967807638706,0.016062918610702148,0.760039438895641,0.02134601350315614,0.33497091144149965,0.10622367524713637,0.33766096463738177,0.03793929125141716,0.14241526735624963,0.016479991064874903,0.04242066369767391,0.004508802019853574,0.10869573218985222,0.011304575623330421,0.0701915821631669,0.010266804714093875,9.421632951718784
LongKou,MLP,mlp,standard-capability,global_center_plus_2p2_nm,0.8012385667224912,0.02814831646780259,0.7142809733906026,0.01867758120859402,0.8147281815310532,0.023512740195308388,0.4955775744764517,0.07269825107776082,0.6717219071704126,0.10654887739224413,0.3061880022504371,0.04405879465787684,0.11626242641516908,0.02153811132551455,0.17718681561367028,0.028016613487874865,0.15253142425971253,0.02549715880732871,15.883213689045583
LongKou,MLP,mlp,standard-capability,global_center_minus_4p4_nm,0.7430553766310248,0.04810897532117245,0.5404718681418947,0.029750602497965312,0.5340407725477629,0.022975140889043857,0.004137039431157078,0.005864211211398436,1.3137242669795666,0.2339382860007247,0.4290280988280699,0.08558783895588831,0.19233373944858134,0.04554355358824042,0.27635128917680396,0.046091647360313424,0.23083902313340818,0.04676411883851647,33.26412421391637
LongKou,MLP,mlp,standard-capability,global_center_plus_4p4_nm,0.5136812853120342,0.013350920131851594,0.4500192057679421,0.02130309102228862,0.5085593610579658,0.02668811830589364,0.007503548709860022,0.008967865224606106,3.8106540670622335,0.4614581810164946,0.8722788283768281,0.028413060996261265,0.41225610577752125,0.01764171371391035,0.4767984982608535,0.013171170567352175,0.44051567072160774,0.013058246615802916,42.309390451311636
LongKou,MLP,mlp,standard-capability,local_mid25_center_minus_2p2_nm,0.9439001049008964,0.005713332822270899,0.858373661930646,0.022101301620803596,0.8765840260981423,0.019201174965363343,0.5676793794440853,0.13100692199783862,0.1714144042379244,0.016947039101407314,0.08359947995733348,0.008679148347926591,0.01242324513473486,0.0009413530917360947,0.04517731932200895,0.002011127915943488,0.02236781566888124,0.0024537805343965583,1.473944835041241
LongKou,MLP,mlp,standard-capability,local_mid25_center_plus_2p2_nm,0.8654231922999062,0.02433360234051987,0.8062983829362402,0.011481597163462325,0.9019225061192355,0.008294041413339275,0.6385542168674698,0.08487969794014177,0.3664564208485824,0.07204914450530135,0.19735048604453775,0.0385700533950951,0.06957262676839747,0.021120463922468684,0.09734251062811712,0.02322153034664456,0.08660581187772605,0.024202890602600037,6.681472734481819
LongKou,MLP,mlp,standard-capability,fwhm_12_nm,0.9287612492408488,0.002049421951004957,0.8282221187278441,0.008647439818531524,0.8982224468333666,0.015916808684002907,0.6940867279894876,0.042488349565335655,0.21012795709195825,0.008046835822228378,0.10414251252881375,0.0033124361149869915,0.01832785705627541,0.0014711578382462372,0.03452895816846716,0.001471755450470292,0.023173896240131032,0.001803519362656452,4.48909915532143
LongKou,MLP,mlp,standard-capability,fwhm_18_nm,0.942656017078602,0.005349654800535353,0.8697850634545186,0.009296056170298508,0.9168369793710376,0.003975534193720786,0.8369685643504742,0.016186426446288857,0.16429694877011947,0.009499578058254732,0.08470026505076754,0.006592968777222904,0.01327842919694042,0.0027021114591579596,0.02674236707952224,0.0007483359221826146,0.013237756961186667,0.0008462084881387108,0.33280468265398655
LongKou,CNN-1D,cnn1d,standard-capability,nominal,0.9422051272613503,0.004549984950299864,0.8639938587215708,0.01135468266401896,0.9116233747606739,0.005829941797175224,0.7765659220324135,0.04004573908843256,0.1960182038587554,0.017171256253500806,0.08565450812020424,0.0062942301123919036,0.01280083363536692,0.004591208489762655,0.0,0.0,0.0,0.0,0.0
LongKou,CNN-1D,cnn1d,standard-capability,global_center_minus_1p1_nm,0.9386771444871819,0.0028805514807684457,0.8357082642767846,0.01050681516023057,0.856961618248486,0.015608370796712099,0.6009198423127463,0.030898045004254,0.20916610762902751,0.008479830906989474,0.08965445490430872,0.0034405926565133807,0.018938694518363677,0.0032143365722036724,0.04101072933728399,0.0029825680321997395,0.019310966744575518,0.003269083760373195,2.8285594444786177
LongKou,CNN-1D,cnn1d,standard-capability,global_center_plus_1p1_nm,0.9020244032611296,0.010799821381982625,0.8122545778222288,0.015976305942279515,0.8966950257912414,0.008756534677225663,0.7891495093865895,0.03429388740288824,0.30987566641739134,0.041483410200491365,0.14434277817407162,0.016456243715189414,0.03692730157031158,0.00975735277923034,0.06299206801994958,0.005930413966045473,0.04804829121961095,0.006555796182499874,5.173928089934199
LongKou,CNN-1D,cnn1d,standard-capability,global_center_minus_2p2_nm,0.9180484752562711,0.0031493063410226677,0.7661443243869649,0.01400305570674074,0.7621441110931308,0.016687597381682507,0.4143292290204255,0.046164245557868105,0.2996631651215108,0.015795407157400743,0.12284987235139111,0.004609847854676292,0.03900167439199773,0.0038354265684969586,0.07663286526676114,0.004783762969898559,0.04517915968860997,0.005362266631019956,9.784953433460586
LongKou,CNN-1D,cnn1d,standard-capability,global_center_plus_2p2_nm,0.7991221451313102,0.02462554879750184,0.7081859623867107,0.02896663865669257,0.8140273904411075,0.033203015015568785,0.5597427303197754,0.06323836779323243,0.7039110178589445,0.13872210886493133,0.308126604259768,0.044288555194161,0.11805453630924963,0.023904571198831322,0.17731748164234315,0.021104068880989382,0.1534792130592414,0.0218117882312648,15.580789633486003
LongKou,CNN-1D,cnn1d,standard-capability,global_center_minus_4p4_nm,0.8803135984688151,0.00324550489408898,0.6537135898894391,0.020992508130205825,0.6333514328138629,0.013715481354713692,0.06735617323852619,0.007987837197973795,0.6278551867909322,0.0567009381316936,0.19463018962592393,0.004850849602856325,0.07851565220610283,0.004626363066768796,0.12348307782910355,0.003389102678495669,0.08439185085669065,0.003889292722895006,21.02802688321317
LongKou,CNN-1D,cnn1d,standard-capability,global_center_plus_4p4_nm,0.515797706903215,0.03371901021022742,0.42421994158674003,0.059446560187365105,0.5125203974635848,0.06997362558950465,0.04137741726611136,0.030665797242286873,3.3958765318344013,0.990109089652527,0.8482059421352532,0.08880913677067637,0.4039984451111291,0.05000101221946507,0.47292452656569184,0.0327347669775622,0.43684597971916006,0.034509547350278745,43.97739171348307
LongKou,CNN-1D,cnn1d,standard-capability,local_mid25_center_minus_2p2_nm,0.9340118151535787,0.003819976697599617,0.8183911208267414,0.009181697373196811,0.8202704102490281,0.010680993525751446,0.3164835164835165,0.03693498926942994,0.23555399445506148,0.009582263917795871,0.09997456146623457,0.0052583278288024365,0.02426999717797798,0.003022381534352864,0.049759832158565984,0.002647799265964276,0.02671292121390581,0.003690755306803409,4.560273789482938
LongKou,CNN-1D,cnn1d,standard-capability,local_mid25_center_plus_2p2_nm,0.7890369361576826,0.021581215122117046,0.7551389769177199,0.00992624108719364,0.8530903333943478,0.006123534181805584,0.42546728266449263,0.07721502175516658,0.6670685892615381,0.12078037312471895,0.32544166694099547,0.042363245206734644,0.13337982258188635,0.025517645419725822,0.17166019471078636,0.021018032037438482,0.15930949445129472,0.0215334113151919,10.885488180385083
LongKou,CNN-1D,cnn1d,standard-capability,fwhm_12_nm,0.932327879713639,0.004606008739490162,0.8336876393583582,0.008615590248665417,0.8851596437981095,0.0036845494122671406,0.6207621550591328,0.02930466099775303,0.22658795230820306,0.022118394451390522,0.09918800015991876,0.007017845551128514,0.01789070930737334,0.005481264952161438,0.03188619172939249,0.004774454209226541,0.01755341664059481,0.0037820686661263953,3.030621936321254
LongKou,CNN-1D,cnn1d,standard-capability,fwhm_18_nm,0.935476746967996,0.005331876659221634,0.8602310636601491,0.014006473422299107,0.8986053695103676,0.0063214587393250745,0.7451721460005177,0.04329632397376484,0.22288608934216367,0.02249050384341538,0.09656890518298347,0.007438329779248914,0.02002400518443256,0.005652789234919527,0.028074792498665735,0.004282299172859998,0.015063400629405376,0.0019805435893788625,0.3762795061421631
LongKou,SSCNN-3x3,sscnn3x3,standard-capability,nominal,0.9643024090398807,0.004026564830873174,0.913471069872742,0.007977536883364542,0.9494149490594845,0.0044524950423984085,0.8672798948751643,0.008252931967331035,0.13103451650004552,0.007431498450412305,0.05515112591167036,0.005104317358737872,0.01649472954647303,0.00260799455308083,0.0,0.0,0.0,0.0,0.0
LongKou,SSCNN-3x3,sscnn3x3,standard-capability,global_center_minus_1p1_nm,0.9658004674531167,0.0028965362079575127,0.9182899344472426,0.005254535213186924,0.9393239345118906,0.0037818546922559755,0.8209811651335961,0.016472848246763937,0.13145797513797547,0.006810902571142915,0.0527232352821758,0.003593423479159119,0.014351710130155775,0.0030631884399828124,0.01709700572354013,0.001245667873514819,0.006500174834827096,0.0009712097738098174,-0.48188645745006475
LongKou,SSCNN-3x3,sscnn3x3,standard-capability,global_center_plus_1p1_nm,0.9521633509395071,0.0039008099376110703,0.8930276641001018,0.007553470629127043,0.9428212348585101,0.004505393052288637,0.875148913265716,0.023231477658216006,0.1715107955556702,0.010595877391684765,0.07471855157560577,0.00462092764526832,0.025608533425221836,0.0034172353458420315,0.019369858475808382,0.0015343073550150275,0.014910650201520142,0.0015314017706625415,2.0443405772640144
LongKou,SSCNN-3x3,sscnn3x3,standard-capability,global_center_minus_2p2_nm,0.9503653127703039,0.003367179414339656,0.8799996131681495,0.014742893353866499,0.889862175218999,0.018602911319103715,0.6248891995896712,0.1570688973792604,0.19561233829122152,0.02785475033168155,0.07771788901871515,0.006256269662552985,0.023301270100142712,0.006301987768076476,0.04131807055965549,0.0049044967124240646,0.02460754182233101,0.005443175515373045,3.3471456704592506
LongKou,SSCNN-3x3,sscnn3x3,standard-capability,global_center_plus_2p2_nm,0.9316800706700775,0.005153086458759326,0.8659352233556579,0.0071866280053353515,0.9235216011591764,0.002643412621805808,0.7889102250406156,0.04048803354473626,0.25538082392683775,0.02891808688155951,0.1092786547879766,0.007686763346472209,0.04131664208605594,0.005795038659369011,0.044336271785339644,0.004964350103208219,0.0368349375195539,0.004953317731831047,4.753584651708409
LongKou,SSCNN-3x3,sscnn3x3,standard-capability,global_center_minus_4p4_nm,0.7959291090785284,0.06434563621208671,0.6653847129716411,0.03761432050087336,0.7209401030613677,0.026358135837628867,0.003102779573367809,0.0041238882760792715,0.9638612241667683,0.4311759033570793,0.3301312448142263,0.1130333266941005,0.13833049473675288,0.06430551033349508,0.19967425511161824,0.0644150179458864,0.17665494966597345,0.06630875992802732,24.80863569011008
LongKou,SSCNN-3x3,sscnn3x3,standard-capability,global_center_plus_4p4_nm,0.869308206194674,0.018213889383585296,0.7930070563652994,0.011288532841876756,0.8524852940920427,0.0139391768738596,0.5088484059856864,0.07276218727860803,0.5818680892810688,0.13537698595285064,0.21696648687729297,0.03465002356082471,0.09375603109382062,0.01983531877836631,0.11224027826343008,0.019572230231489463,0.10015643116108727,0.019478279394210006,12.046401350744251
LongKou,SSCNN-3x3,sscnn3x3,standard-capability,local_mid25_center_minus_2p2_nm,0.9623902681414137,0.003270959775953753,0.9104737492790255,0.004923182734706853,0.930249531420318,0.0064603078648893895,0.7847576349856631,0.014708369946698486,0.14244909697335512,0.00601397017253768,0.0578467131660829,0.00386896189596882,0.016286612899090374,0.0030098211588109134,0.021861714853598842,0.0010695008299626925,0.01019010986988608,0.001009491827874163,0.29973205937164904
LongKou,SSCNN-3x3,sscnn3x3,standard-capability,local_mid25_center_plus_2p2_nm,0.9447301102379594,0.0038550112670743997,0.8826993692534172,0.007068171512234589,0.9353082635951464,0.006171291297237035,0.8415200262306701,0.0496739151787058,0.2006707713169787,0.020869490541166432,0.08714036938237993,0.00504474234636058,0.030905931895314587,0.00406757854881779,0.029177172092680864,0.0025250641284968018,0.023172055873530006,0.002584743951336975,3.077170061932477
