scene,model,model_key,capability_label,direction,condition,nominal_macro_f1,shifted_macro_f1,mean_drop_pp,seed_drop_std_pp,seed_t_p_two_sided,spatial_block_size,test_block_count,block_bootstrap_ci95_lower_pp,block_bootstrap_ci95_upper_pp,block_bootstrap_replicates,nominal_ece_mean,shifted_ece_mean,ece_change,label_flip_rate_mean,correct_to_wrong_rate_mean,wrong_to_correct_rate_mean,net_harm_rate_mean,holm_p_36,holm_pass_0p05,spatial_ci_excludes_zero
LongKou,Linear,linear,standard-capability,minus,global_center_minus_2p2_nm,0.760617912479646,0.7428454996006606,1.7772412878985542,0.20146610399702386,3.896089968883196e-05,32,158,-0.27061381822572306,3.7998441223536714,2000,0.03147274405123423,0.024454239056471164,-0.007018504994763067,0.06358098533227818,0.02132800853930103,0.023424186097870697,-0.0020961775585696674,0.0008855390131584852,True,False
LongKou,Linear,linear,standard-capability,plus,global_center_plus_2p2_nm,0.760617912479646,0.7327159755645709,2.7901936915075143,0.17678892257032391,3.847449350515719e-06,32,158,1.445787494729419,3.750010976774583,2000,0.03147274405123423,0.02110398350903309,-0.010368760542201141,0.07520474078436425,0.051681174890038095,0.009744741152437566,0.04193643373760053,0.00011542348051547157,True,True
LongKou,MLP,mlp,standard-capability,minus,global_center_minus_2p2_nm,0.8731131102810584,0.7788967807638706,9.421632951718781,1.1381885304099217,5.013712559442443e-05,32,158,5.278694230096486,13.057410199714583,2000,0.010356917302931899,0.04242066369767391,0.032063746394742014,0.10869573218985222,0.0701915821631669,0.03084822496641331,0.03934335719675359,0.001052879637482913,True,True
LongKou,MLP,mlp,standard-capability,plus,global_center_plus_2p2_nm,0.8731131102810584,0.7142809733906026,15.883213689045585,1.5087573689265303,1.9307602345030035e-05,32,158,12.67419912393398,18.412882163640692,2000,0.010356917302931899,0.11626242641516908,0.1059055091122372,0.17718681561367028,0.15253142425971253,0.007302574672874837,0.14522884958683768,0.0005019976609707809,True,True
LongKou,CNN-1D,cnn1d,standard-capability,minus,global_center_minus_2p2_nm,0.8639938587215708,0.7661443243869649,9.784953433460593,2.191790492094273,0.000565800148394841,32,158,6.018347351089819,12.092551574766116,2000,0.01280083363536692,0.03900167439199773,0.026200840756630817,0.07663286526676114,0.04517915968860997,0.021022507683530558,0.024156652005079413,0.0067896017807380915,True,True
LongKou,CNN-1D,cnn1d,standard-capability,plus,global_center_plus_2p2_nm,0.8639938587215708,0.7081859623867107,15.580789633486024,3.175071489768746,0.00039191837660102234,32,158,12.471942249795985,18.012206302017564,2000,0.01280083363536692,0.11805453630924963,0.10525370267388272,0.17731748164234315,0.1534792130592414,0.010396230929201096,0.1430829821300403,0.005486857272414313,True,True
LongKou,SSCNN-3x3,sscnn3x3,standard-capability,minus,global_center_minus_2p2_nm,0.913471069872742,0.8799996131681495,3.347145670459257,2.0333746501976933,0.021189073491454744,32,158,-0.6133851956470953,5.750051693554253,2000,0.01649472954647303,0.023301270100142712,0.006806540553669681,0.04131807055965549,0.02460754182233101,0.010670445552754107,0.013937096269576902,0.08475629396581898,False,False
LongKou,SSCNN-3x3,sscnn3x3,standard-capability,plus,global_center_plus_2p2_nm,0.913471069872742,0.8659352233556579,4.7535846517084135,0.5934553343134968,5.710928913693115e-05,32,158,3.164997199107481,5.977010072671996,2000,0.01649472954647303,0.04131664208605594,0.024821912539582915,0.044336271785339644,0.0368349375195539,0.004212599149750631,0.032622338369803265,0.001142185782738623,True,True
LongKou,SSResNet-3x3,ssresnet3x3,standard-capability,minus,global_center_minus_2p2_nm,0.9297733537499212,0.7916287000141116,13.81446537358095,8.8097323016461,0.0247532816071865,32,158,9.136564357197486,17.976776588968427,2000,0.013828498987987266,0.039028738489048906,0.025200239501061632,0.06375397979277472,0.04695327309199993,0.007909895651213722,0.03904337744078621,0.08475629396581898,False,True
LongKou,SSResNet-3x3,ssresnet3x3,standard-capability,plus,global_center_plus_2p2_nm,0.9297733537499212,0.8339956893002569,9.577766444966423,2.8384132715692174,0.00165286629720569,32,158,7.272332111731178,11.571782616669447,2000,0.013828498987987266,0.06290085140283808,0.04907235241485082,0.07975964812190588,0.0707786591088945,0.005222960413714412,0.06555569869518009,0.0165286629720569,True,True
LongKou,SpectralFormer-3x3,spectralformer3x3,standard-capability,minus,global_center_minus_2p2_nm,0.8978991721588914,0.8885826903508697,0.9316481808021582,1.905147018380504,0.3356203057735512,32,158,-2.415797479799294,3.0175156724217067,2000,0.01831338403763524,0.02118541983829996,0.0028720358006647214,0.04293759316855918,0.021578298397040695,0.016447356313377626,0.005130942083663069,0.3356203057735512,False,False
LongKou,SpectralFormer-3x3,spectralformer3x3,standard-capability,plus,global_center_plus_2p2_nm,0.8978991721588914,0.8289773279356629,6.892184422322847,1.3332832671248325,0.00031996946735307424,32,158,4.99756662808623,8.126616090162548,2000,0.01831338403763524,0.06487188967845373,0.046558505640818496,0.07688315512450081,0.06808988350479415,0.0045769917367539615,0.06351289176804019,0.004799542010296113,True,True
HanChuan,Linear,linear,low-capability,minus,global_center_minus_2p2_nm,0.5311868151957617,0.5043442733324488,2.68425418633129,0.27040714470670935,2.43857245609755e-05,16,974,1.7653082646671272,3.5827676790434455,2000,0.1046909549146439,0.10748154384357207,0.0027905889289281697,0.09623322602814048,0.028442869027380906,0.03350092234238796,-0.005058053315007055,0.0005926320480994389,True,True
HanChuan,Linear,linear,low-capability,plus,global_center_plus_2p2_nm,0.5311868151957617,0.4790582521168637,5.212856307889797,0.2970047831651593,2.5181673756771226e-06,16,974,4.509358262749967,5.775383592524052,2000,0.1046909549146439,0.0656397987708617,-0.039051156143782205,0.11130032191557852,0.057863782688899336,0.012698665316309185,0.04516511737259015,7.80631886459908e-05,True,True
HanChuan,MLP,mlp,low-capability,minus,global_center_minus_2p2_nm,0.6919441785316266,0.6375214808737454,5.4422697657881285,0.5443538941280711,2.3705281923977555e-05,16,974,4.366155454195469,6.538250343810205,2000,0.01933086282517822,0.051322873990484096,0.03199201116530588,0.10565920353022029,0.05359279487828698,0.021927876442290304,0.03166491843599667,0.0005926320480994389,True,True
HanChuan,MLP,mlp,low-capability,plus,global_center_plus_2p2_nm,0.6919441785316266,0.6412141391595723,5.07300393720544,1.2108110762372888,0.0007230500590084496,16,974,4.100077074371256,6.037878064059031,2000,0.01933086282517822,0.054799022171649725,0.0354681593464715,0.11705573841646473,0.06240387745505842,0.02487937208377039,0.03752450537128803,0.007953550649092946,True,True
HanChuan,CNN-1D,cnn1d,low-capability,minus,global_center_minus_2p2_nm,0.6710481275096105,0.6131779638690908,5.787016364051982,3.5911485243888257,0.022690404996127143,16,974,4.372307469583553,6.973487176065443,2000,0.023488843515000586,0.05298602169946799,0.029497178184467406,0.12437515824501755,0.058474337179440804,0.031086193800412342,0.02738814337902846,0.08475629396581898,False,True
HanChuan,CNN-1D,cnn1d,low-capability,plus,global_center_plus_2p2_nm,0.6710481275096105,0.5789080332114607,9.214009429815004,3.485782216503023,0.004101804152155749,16,974,8.01465665680898,10.245414720475381,2000,0.023488843515000586,0.10941895518539377,0.08593011167039319,0.15594024668137593,0.09495424458349913,0.016532716027055378,0.07842152855644376,0.024679744450119834,True,True
HanChuan,SSCNN-3x3,sscnn3x3,standard-capability,minus,global_center_minus_2p2_nm,0.7583294189219986,0.699490468549205,5.883895037279367,0.8147784516420647,8.603728701341429e-05,16,974,4.563470298518938,7.18909247319078,2000,0.048481690972654284,0.07392438180180068,0.025442690829146374,0.08957789271892068,0.04950555213947264,0.019867616739610083,0.02963793539986256,0.0016347084532548715,True,True
HanChuan,SSCNN-3x3,sscnn3x3,standard-capability,plus,global_center_plus_2p2_nm,0.7583294189219986,0.68412569923528,7.420371968671864,2.854160774755547,0.004357776627954991,16,974,6.35688227635589,8.356741236190006,2000,0.048481690972654284,0.09203659445884953,0.043554903486195236,0.10518754295221903,0.06645350309255978,0.018474337179440806,0.047979165913118973,0.024679744450119834,True,True
HanChuan,SSResNet-3x3,ssresnet3x3,standard-capability,minus,global_center_minus_2p2_nm,0.7377953148299785,0.6385307639211693,9.92645509088094,1.706616009227657,0.00020167525129897177,16,974,7.728470526132573,11.52020076152325,2000,0.06581008257122374,0.10641435270307811,0.04060427013185436,0.1348023293666582,0.07733497305313415,0.02686295077223569,0.05047202228089846,0.0032268040207835483,True,True
