scene,model_a,model_b,higher_nominal_model,lower_mean_relative_loss_model,lower_worst_relative_loss_model,mean_relative_loss_rank_discordant,worst_relative_loss_rank_discordant,absolute_nominal_gap_pp,absolute_mean_relative_loss_gap,absolute_worst_relative_loss_gap,analysis_role
HanChuan,SSCNN-3x3,SpectralFormer-3x3,SSCNN-3x3,SpectralFormer-3x3,SpectralFormer-3x3,True,True,2.9678469528574225,0.037540642610433966,0.045221491783384055,post_hoc_bounded_scale_sensitivity
HanChuan,SSResNet-3x3,SpectralFormer-3x3,SSResNet-3x3,SpectralFormer-3x3,SpectralFormer-3x3,True,True,0.9144365436554169,0.08179671858936147,0.0819120547067323,post_hoc_bounded_scale_sensitivity
HongHu,Linear,MLP,MLP,MLP,MLP,False,False,6.545283037546645,0.021433397067610854,6.436537761678185e-05,post_hoc_bounded_scale_sensitivity
HongHu,Linear,CNN-1D,CNN-1D,CNN-1D,CNN-1D,False,False,4.886576776173779,0.041467389353007006,0.05704287516055287,post_hoc_bounded_scale_sensitivity
HongHu,Linear,SSCNN-3x3,SSCNN-3x3,Linear,Linear,True,True,15.568782838259976,0.09641598312903865,0.10608848324809972,post_hoc_bounded_scale_sensitivity
HongHu,Linear,SSResNet-3x3,SSResNet-3x3,Linear,Linear,True,True,17.60020949885496,0.13695609297230305,0.16192661297295197,post_hoc_bounded_scale_sensitivity
HongHu,Linear,SpectralFormer-3x3,SpectralFormer-3x3,Linear,Linear,True,True,14.335219363846663,0.06480063043482284,0.047829947171243475,post_hoc_bounded_scale_sensitivity
HongHu,MLP,CNN-1D,MLP,CNN-1D,CNN-1D,True,True,1.6587062613728665,0.02003399228539615,0.05697850978293609,post_hoc_bounded_scale_sensitivity
HongHu,MLP,SSCNN-3x3,SSCNN-3x3,MLP,MLP,True,True,9.023499800713331,0.1178493801966495,0.1061528486257165,post_hoc_bounded_scale_sensitivity
HongHu,MLP,SSResNet-3x3,SSResNet-3x3,MLP,MLP,True,True,11.054926461308312,0.1583894900399139,0.16199097835056875,post_hoc_bounded_scale_sensitivity
HongHu,MLP,SpectralFormer-3x3,SpectralFormer-3x3,MLP,MLP,True,True,7.789936326300017,0.0862340275024337,0.04789431254886026,post_hoc_bounded_scale_sensitivity
HongHu,CNN-1D,SSCNN-3x3,SSCNN-3x3,CNN-1D,CNN-1D,True,True,10.682206062086196,0.13788337248204566,0.1631313584086526,post_hoc_bounded_scale_sensitivity
HongHu,CNN-1D,SSResNet-3x3,SSResNet-3x3,CNN-1D,CNN-1D,True,True,12.71363272268118,0.17842348232531005,0.21896948813350484,post_hoc_bounded_scale_sensitivity
HongHu,CNN-1D,SpectralFormer-3x3,SpectralFormer-3x3,CNN-1D,CNN-1D,True,True,9.448642587672884,0.10626801978782985,0.10487282233179634,post_hoc_bounded_scale_sensitivity
HongHu,SSCNN-3x3,SSResNet-3x3,SSResNet-3x3,SSCNN-3x3,SSCNN-3x3,True,True,2.0314266605949816,0.040540109843264394,0.05583812972485225,post_hoc_bounded_scale_sensitivity
HongHu,SSCNN-3x3,SpectralFormer-3x3,SSCNN-3x3,SpectralFormer-3x3,SpectralFormer-3x3,True,True,1.2335634744133128,0.03161535269421581,0.05825853607685624,post_hoc_bounded_scale_sensitivity
HongHu,SSResNet-3x3,SpectralFormer-3x3,SSResNet-3x3,SpectralFormer-3x3,SpectralFormer-3x3,True,True,3.2649901350082944,0.0721554625374802,0.11409666580170849,post_hoc_bounded_scale_sensitivity
