geometry,band_count,spacing_nm,effective_fwhm_nm,direction,shift_nm,spectrum_count,perturbation_error_ratio_median,perturbation_error_ratio_p95,perturbation_error_ratio_max,shifted_relative_nrmse_median,shifted_spectral_angle_deg_median
dense_narrow,90,6.022471910112358,9.0,minus,-2.2,30,1.2955295889138214e-05,1.4130867931016874e-05,1.564725154036207e-05,4.8732436332174104e-08,2.828713997662056e-06
dense_narrow,90,6.022471910112358,9.0,plus,2.2,30,1.3364989406834043e-05,1.458042392266998e-05,1.4813385205204208e-05,4.7252154697849535e-08,2.7657580844460372e-06
reference,68,8.0,15.0,minus,-2.2,30,5.585032292651973e-06,2.629238524603008e-05,5.016471647394874e-05,3.752875819678933e-08,2.091309789151873e-06
reference,68,8.0,15.0,plus,2.2,30,2.6096527435723507e-06,6.2070397026223425e-06,1.0100990215152953e-05,1.7181008884697385e-08,1.2074182697257333e-06
coarse_broad,46,11.911111111111097,18.0,minus,-2.2,30,0.00016382250972797981,0.0008380056876059238,0.0018992720334748048,1.0979950710916489e-06,6.276511646634e-05
coarse_broad,46,11.911111111111097,18.0,plus,2.2,30,5.672536042358877e-05,0.000283452264957509,0.0006148610294329121,1.2274713658381388e-07,7.0140332172490495e-06
