geometry,band_count,spacing_nm,effective_fwhm_nm,shift_nm,absolute_shift_over_spacing,absolute_shift_over_fwhm,scene,model,model_key,direction,nominal_macro_f1_mean,shifted_macro_f1_mean,paired_macro_f1_drop_mean,paired_macro_f1_drop_std,ece_change_shifted_minus_nominal_mean,label_flip_rate_mean,correct_to_wrong_rate_mean,wrong_to_correct_rate_mean,low_capability_nominal_below_0p70
dense_narrow,90,6.022471910112359,9.0,-2.2,0.3652985074626866,0.24444444444444446,LongKou,Linear,linear,minus,0.7751373232133222,0.7581901449975508,0.016947178215771408,0.0017424033807723514,-0.004764202787411163,0.05089165761819754,0.01845887700830005,0.020547693100465614,False
dense_narrow,90,6.022471910112359,9.0,2.2,0.3652985074626866,0.24444444444444446,LongKou,Linear,linear,plus,0.7751373232133222,0.7481594054976819,0.026977917715640353,0.004206715308009514,-0.002488599750854427,0.06588880504996594,0.040996006404475774,0.010536098790879144,False
dense_narrow,90,6.022471910112359,9.0,-2.2,0.3652985074626866,0.24444444444444446,LongKou,MLP,mlp,minus,0.8766215850885241,0.7206189689266652,0.15600261616185893,0.03770893134025376,0.04473500008648846,0.11897786038978966,0.08063566262399469,0.027673592579641866,False
dense_narrow,90,6.022471910112359,9.0,2.2,0.3652985074626866,0.24444444444444446,LongKou,MLP,mlp,plus,0.8766215850885241,0.7147742507239003,0.16184733436462362,0.016947027025974407,0.08636360126216461,0.15934630178331524,0.13668586782487072,0.007103815079963928,False
dense_narrow,90,6.022471910112359,9.0,-2.2,0.3652985074626866,0.24444444444444446,LongKou,CNN-1D,cnn1d,minus,0.8710158990086277,0.7358279290481867,0.13518796996044102,0.08094434026329445,0.03830204586256373,0.07927011060603271,0.051465851997717936,0.015663360141340156,False
dense_narrow,90,6.022471910112359,9.0,2.2,0.3652985074626866,0.24444444444444446,LongKou,CNN-1D,cnn1d,plus,0.8710158990086277,0.7074314957389858,0.16358440326964194,0.08237908175632172,0.09545058701139039,0.1670040672101883,0.14364245357675248,0.0109501812761102,False
dense_narrow,90,6.022471910112359,9.0,-2.2,0.3652985074626866,0.24444444444444446,LongKou,SSCNN-3x3,sscnn3x3,minus,0.9197005419959403,0.8833031602928039,0.036397381703136375,0.016929812447314355,0.007924199579724605,0.04019912766623111,0.02537497469495924,0.010140419971658356,False
dense_narrow,90,6.022471910112359,9.0,2.2,0.3652985074626866,0.24444444444444446,LongKou,SSCNN-3x3,sscnn3x3,plus,0.9197005419959403,0.8729136902469087,0.04678685174903159,0.004431352320836798,0.023497732824249842,0.04117820269797744,0.034009974786977565,0.0040396046892540996,False
dense_narrow,90,6.022471910112359,9.0,-2.2,0.3652985074626866,0.24444444444444446,LongKou,SSResNet-3x3,ssresnet3x3,minus,0.9346034429411463,0.7850530036529368,0.14955043928820946,0.13744573886031664,0.058079410644115904,0.1217016029593095,0.10758783149603399,0.005813718092644055,False
dense_narrow,90,6.022471910112359,9.0,2.2,0.3652985074626866,0.24444444444444446,LongKou,SSResNet-3x3,ssresnet3x3,plus,0.9346034429411463,0.8375846308192824,0.0970188121218638,0.03971163893313603,0.05056819096581947,0.07881185932237703,0.07043451055450245,0.0044224009422677,False
dense_narrow,90,6.022471910112359,9.0,-2.2,0.3652985074626866,0.24444444444444446,LongKou,SpectralFormer-3x3,spectralformer3x3,minus,0.9100499069373231,0.8803126289786387,0.029737277958684527,0.025903267834799036,0.009060480653453135,0.04193091263779745,0.025601339786885547,0.011272245431289912,False
dense_narrow,90,6.022471910112359,9.0,2.2,0.3652985074626866,0.24444444444444446,LongKou,SpectralFormer-3x3,spectralformer3x3,plus,0.9100499069373231,0.8533786689672613,0.056671237970061863,0.022149344069842713,0.03331910933284078,0.06340615050518064,0.05410493770359055,0.0059112575224984825,False
dense_narrow,90,6.022471910112359,9.0,-2.2,0.3652985074626866,0.24444444444444446,HanChuan,Linear,linear,minus,0.5422202212082391,0.5007642253416024,0.04145599586663682,0.004874912632697019,-0.0074968226669916704,0.11128585379968894,0.03944008391507216,0.03296849567765038,True
dense_narrow,90,6.022471910112359,9.0,2.2,0.3652985074626866,0.24444444444444446,HanChuan,Linear,linear,plus,0.5422202212082391,0.47186849142320586,0.07035172978503332,0.005828350291401746,-0.05820386676442176,0.13659782254855862,0.07264730350490108,0.01410641299236807,True
dense_narrow,90,6.022471910112359,9.0,-2.2,0.3652985074626866,0.24444444444444446,HanChuan,MLP,mlp,minus,0.6951336046813064,0.6188325189682292,0.07630108571307719,0.013831158625489693,0.046782651017810574,0.12515788331464534,0.06493579773573985,0.02414005136181141,True
dense_narrow,90,6.022471910112359,9.0,2.2,0.3652985074626866,0.24444444444444446,HanChuan,MLP,mlp,plus,0.6951336046813064,0.5947658858235514,0.10036771885775483,0.009628368629620932,0.04852506744804258,0.13891706152566283,0.08179838680507831,0.02470720150468405,True
dense_narrow,90,6.022471910112359,9.0,-2.2,0.3652985074626866,0.24444444444444446,HanChuan,CNN-1D,cnn1d,minus,0.6685233549774141,0.5878403850623275,0.08068296991508665,0.04026336027872971,0.058176292681036926,0.15009512786197418,0.07606611928961551,0.02915904076391652,True
dense_narrow,90,6.022471910112359,9.0,2.2,0.3652985074626866,0.24444444444444446,HanChuan,CNN-1D,cnn1d,plus,0.6685233549774141,0.5671649815842763,0.10135837339313783,0.05710632695315207,0.08931818382183447,0.157857272036749,0.09610301298513402,0.016900206170651428,True
